id,price_day,f_property_type,f_neighbourhood,n_accommodates,n_bathrooms,n_minimum_nights,n_beds,n_review_scores_rating,n_number_of_reviews,n_bedrooms,d_instant_bookable,d_wifi,d_refrigerator,d_air_conditioning,d_baby,d_beach,d_stove,d_free_parking,d_office,d_coffee_maker,d_garden,d_gym
307621,125,rental unit,Centrum-Oost,2,0,3,1,4.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0
310722,169,rental unit,De Baarsjes - Oud-West,2,1,2,1,4.78,28,1,0,1,0,0,0,0,0,0,0,0,0,0
311124,190,rental unit,Centrum-West,2,1,3,1,4.74,81,1,0,1,1,0,0,0,1,0,0,1,0,0
311584,95,rental unit,De Baarsjes - Oud-West,2,1,3,1,4.72,53,1,0,1,1,0,0,0,1,0,0,1,0,0
319985,166,rental unit,De Pijp - Rivierenbuurt,4,1,1,2,4.74,387,1,0,1,1,0,1,0,1,0,0,1,0,0
320689,88,rental unit,Zuid,4,1,1,2,4.73,32,2,0,1,0,0,0,0,0,0,0,0,0,0
331946,220,loft,De Baarsjes - Oud-West,4,1,2,4,4.88,27,4,0,1,1,0,1,0,1,0,0,1,0,0
340994,150,rental unit,Centrum-Oost,2,1,4,1,4.89,37,1,0,1,1,0,0,0,0,0,0,0,0,0
345397,169,rental unit,De Pijp - Rivierenbuurt,4,1.5,2,3,4.75,43,2,0,1,1,0,0,0,1,0,0,1,0,0
357932,200,rental unit,De Pijp - Rivierenbuurt,2,1,3,1,4.64,27,1,0,1,1,0,0,0,0,0,0,1,0,0
361342,314,serviced_apartment,Centrum-West,3,1.5,7,3,4.84,109,2,0,1,1,0,0,0,1,0,0,1,0,0
362458,99,rental unit,Centrum-Oost,2,1,6,1,4.9,52,1,0,1,1,0,0,0,1,0,0,1,0,0
367491,119,rental unit,De Baarsjes - Oud-West,2,1.5,4,1,4.91,70,1,0,1,1,0,0,0,1,0,0,1,0,0
387644,295,rental unit,Westerpark,4,1,4,2,4.78,55,2,0,1,0,0,0,0,0,0,0,0,0,0
408794,199,rental unit,De Baarsjes - Oud-West,3,1,20,2,4.62,23,1,0,1,1,0,0,0,1,0,0,1,0,0
414865,98,rental unit,Zuid,2,1,4,1,4.86,7,1,0,1,1,0,0,0,1,0,0,1,0,0
414917,280,rental unit,Centrum-Oost,4,2,180,3,4.89,78,2,0,1,0,0,0,0,0,0,0,0,0,1
415619,145,rental unit,Oostelijk Havengebied - Indische Buurt,3,1,2,1,4.92,69,1,0,1,0,0,0,0,0,0,0,0,0,0
418098,185,rental unit,De Baarsjes - Oud-West,4,1,3,2,4.84,21,2,1,1,0,0,1,0,0,0,0,0,0,0
422044,275,rental unit,Centrum-West,4,2.5,7,5,4.84,134,3,1,1,1,0,1,0,1,0,0,1,0,0
431635,65,rental unit,Bos en Lommer,2,1,5,1,4.76,20,2,0,1,1,0,0,0,1,0,0,0,0,0
432233,304,rental unit,Centrum-Oost,2,1,2,1,4.76,24,1,0,1,0,0,0,0,0,0,0,0,0,0
437757,109,rental unit,De Pijp - Rivierenbuurt,2,1,3,1,4.61,123,1,0,1,0,0,0,0,0,0,0,0,0,0
439097,140,rental unit,De Baarsjes - Oud-West,2,1,4,1,4.88,52,1,0,1,1,0,0,0,1,0,0,1,0,0
447151,105,rental unit,Zuid,2,1,5,1,4.65,73,1,1,1,1,0,0,0,1,0,0,1,0,0
450767,261,rental unit,Centrum-Oost,4,1,3,3,4.59,79,2,0,1,1,0,0,0,0,0,0,1,0,0
451719,179,rental unit,Centrum-West,4,1.5,3,3,4.86,60,1,0,1,0,0,0,0,0,0,0,0,0,0
460469,110,rental unit,Oud-Oost,2,1,3,1,4.73,46,1,0,1,0,0,0,0,0,0,0,0,0,0
467103,160,rental unit,Centrum-West,2,1,2,1,4.87,149,1,0,1,0,0,0,0,0,0,0,0,0,0
484836,200,rental unit,De Baarsjes - Oud-West,4,1.5,3,3,4.86,54,3,0,1,0,0,0,0,0,0,0,0,0,0
489418,79,rental unit,Bos en Lommer,5,1,2,4,4.4,96,2,0,1,0,0,0,0,0,0,0,0,0,0
502869,169,rental unit,Westerpark,2,1,5,1,4.83,23,1,0,1,1,0,0,0,1,0,0,1,0,0
503629,120,rental unit,Zuid,5,1,5,3,4.82,11,3,0,1,0,0,1,0,0,0,0,1,0,0
505012,299,rental unit,Centrum-Oost,4,1,3,5,4.72,60,3,0,1,1,0,0,0,1,0,0,1,0,0
505804,76,rental unit,Westerpark,2,1,6,1,4.84,94,1,0,1,1,0,0,0,1,0,0,1,0,0
515921,159,rental unit,Zuid,4,1.5,5,1,4.2,77,2,0,1,1,0,1,0,1,0,0,1,0,0
517996,160,rental unit,Centrum-West,2,1,3,1,4.86,23,1,0,1,1,0,0,0,1,0,0,1,0,0
522471,180,rental unit,Bos en Lommer,4,1.5,5,3,4.95,23,3,0,1,1,0,0,0,0,0,0,1,0,0
537321,123,rental unit,De Baarsjes - Oud-West,2,1,2,0,4.9,31,1,0,1,0,0,0,0,0,0,0,1,0,0
543930,139,rental unit,Oud-Oost,4,1,4,4,5,7,2,0,1,0,0,0,0,0,0,0,0,0,0
543932,309,loft,Westerpark,4,1,4,1,4.67,112,1,0,1,1,0,0,0,0,0,0,0,0,0
550783,110,rental unit,De Baarsjes - Oud-West,2,1,2,1,4.77,23,1,0,1,0,0,0,0,0,0,0,0,0,0
552145,50,rental unit,De Baarsjes - Oud-West,2,1,5,1,4.81,18,1,0,1,0,0,0,0,0,0,0,0,0,0
553514,80,rental unit,Westerpark,2,1.5,2,1,4.41,162,NA,0,1,1,0,1,0,1,0,0,1,0,0
555225,107,rental unit,Westerpark,2,1,2,2,4.9,10,1,0,1,0,0,0,0,0,0,0,0,0,0
555399,120,rental unit,De Baarsjes - Oud-West,4,1,1,2,4.74,22,1,0,0,0,0,0,0,0,0,0,0,0,0
556829,110,rental unit,Buitenveldert - Zuidas,2,1,3,1,4.61,20,1,0,1,1,0,0,0,1,0,0,1,0,0
561713,195,rental unit,Oud-Oost,4,1.5,4,4,5,5,4,0,1,1,0,1,0,1,0,0,0,0,0
564826,150,rental unit,De Pijp - Rivierenbuurt,3,1,4,2,4.93,16,2,0,1,0,0,0,0,0,0,0,0,0,0
568005,140,rental unit,Zuid,2,1,2,1,4.96,55,1,0,1,1,0,0,0,0,0,0,1,0,0
571029,150,rental unit,De Baarsjes - Oud-West,4,1,3,2,4.9,10,2,0,1,1,0,0,0,1,0,0,1,0,0
571130,125,rental unit,Centrum-West,2,1,3,1,4.8,5,1,0,1,0,0,0,0,0,0,0,0,0,0
572208,206,rental unit,De Baarsjes - Oud-West,2,1.5,2,2,4.8,26,2,0,0,0,0,0,0,0,0,0,0,0,0
575603,245,loft,Centrum-Oost,4,2.5,5,4,4.82,17,4,0,1,1,0,1,0,1,0,0,1,0,0
580978,94,rental unit,De Baarsjes - Oud-West,4,1,7,2,4.83,6,2,0,1,0,0,0,0,0,0,0,0,0,0
582028,105,rental unit,Slotervaart,2,1,7,1,4.8,10,1,0,1,1,1,1,0,1,0,0,1,0,0
582030,165,rental unit,Bos en Lommer,2,1,3,1,4.95,22,1,0,1,0,0,0,0,0,0,0,0,0,0
582135,100,rental unit,Oud-Noord,2,1,4,1,4.8,10,1,0,1,1,0,0,0,1,1,0,1,0,0
588020,291,rental unit,Centrum-Oost,6,1,3,6,4.45,181,3,1,1,0,0,0,0,0,0,0,1,0,0
588116,100,rental unit,Watergraafsmeer,4,1.5,3,2,4.81,48,2,0,1,1,0,0,0,1,0,0,1,0,0
589194,85,rental unit,Oud-Oost,2,1,30,1,4.68,25,1,0,1,0,0,0,0,0,0,0,0,0,0
589237,120,rental unit,Zuid,5,1,5,3,4.53,17,3,0,1,1,0,1,0,1,0,0,0,0,0
590236,111,rental unit,De Baarsjes - Oud-West,3,1,4,1,4.85,40,1,0,1,1,0,0,0,1,0,0,0,0,0
590386,140,rental unit,Watergraafsmeer,4,1.5,2,4,4.83,7,4,0,1,0,0,0,0,0,0,0,0,0,0
590681,295,rental unit,Zuid,4,2,2,0,5,11,4,0,1,0,0,0,0,0,0,0,0,0,0
593483,430,rental unit,De Baarsjes - Oud-West,4,1,2,2,4.43,210,1,0,1,0,0,0,0,0,0,0,0,0,0
594474,200,rental unit,Zuid,2,1,2,1,4.83,32,1,0,1,0,0,0,0,0,0,0,0,0,0
601882,150,rental unit,Centrum-West,2,1,4,4,4.89,20,2,0,1,0,0,0,0,0,0,0,0,0,0
609250,232,rental unit,De Baarsjes - Oud-West,4,1,2,2,4.88,34,2,0,1,0,1,0,0,0,0,0,0,0,0
620056,235,rental unit,Westerpark,3,1,3,2,4.97,32,2,0,1,1,0,0,0,1,0,0,1,0,0
623123,450,rental unit,De Baarsjes - Oud-West,4,3,3,2,5,20,3,0,1,1,1,1,0,1,0,0,1,0,0
623652,275,rental unit,Oud-Oost,5,2,4,5,4.86,28,3,0,1,1,0,1,0,1,0,0,1,0,0
623734,140,rental unit,De Baarsjes - Oud-West,2,1,4,2,4.65,18,1,1,1,0,0,0,0,0,0,0,0,0,0
624485,70,rental unit,Westerpark,2,1,2,1,4.67,71,1,0,1,0,0,0,0,0,0,0,0,0,0
626872,150,rental unit,Westerpark,2,1,6,1,4.86,0,1,0,1,0,0,0,0,0,0,0,0,0,0
632434,125,loft,Centrum-West,2,1,5,1,4.63,21,1,0,1,0,0,0,0,0,0,0,0,0,0
634170,109,loft,Westerpark,4,1,5,4,4.88,144,NA,1,1,1,0,1,0,0,0,0,1,0,0
639480,105,rental unit,Bos en Lommer,4,1,2,2,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0
639981,101,rental unit,De Baarsjes - Oud-West,2,1,5,1,5,22,1,0,1,0,0,0,0,0,0,0,0,0,0
642190,139,rental unit,Centrum-West,2,1,2,1,4.53,107,1,0,1,0,0,0,0,0,0,0,0,0,0
652575,120,rental unit,De Pijp - Rivierenbuurt,2,1.5,3,0,4.46,28,1,0,1,1,0,0,0,1,0,0,0,0,0
652660,115,rental unit,Centrum-West,2,NA,6,1,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0
652888,106,rental unit,Westerpark,2,1.5,2,1,4.48,106,1,0,1,1,0,0,0,1,0,0,1,0,0
653596,140,rental unit,De Baarsjes - Oud-West,2,1,3,1,4.63,29,1,0,1,0,0,0,0,0,0,0,0,0,0
656268,150,rental unit,Centrum-Oost,4,1.5,4,2,4.75,4,2,0,1,0,0,0,0,0,0,0,0,0,0
664697,87,loft,Oud-Noord,2,1.5,30,1,4.27,64,1,0,1,0,0,0,0,0,0,0,0,0,0
665250,139,rental unit,De Pijp - Rivierenbuurt,4,1,14,2,4.86,0,2,0,1,0,0,0,0,0,0,0,0,0,0
667305,146,rental unit,Noord-West,2,1.5,5,1,5,16,1,0,1,1,0,0,0,0,0,0,1,0,0
667333,147,rental unit,Centrum-West,2,1,3,1,4.69,29,1,0,1,0,0,0,0,0,0,0,0,0,0
667928,174,rental unit,Centrum-West,2,1,2,1,4.84,26,1,0,1,1,0,0,0,1,0,0,1,0,0
669729,129,rental unit,De Pijp - Rivierenbuurt,2,1,60,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0
670828,190,rental unit,Centrum-West,2,1,2,1,4.82,30,1,0,1,1,0,0,0,1,0,0,1,0,0
676922,100,rental unit,Westerpark,4,1,2,2,4.6,16,2,0,1,0,0,0,0,0,0,0,0,0,0
678393,150,rental unit,Centrum-Oost,2,1,2,1,4.62,30,1,0,1,0,0,0,0,0,0,0,0,0,0
679838,395,rental unit,Centrum-Oost,2,1.5,3,1,4.94,51,1,0,1,1,0,0,1,1,0,0,1,0,0
689623,120,rental unit,Centrum-Oost,2,1.5,14,1,4.72,83,1,0,1,1,0,0,0,0,0,0,1,0,0
693675,95,rental unit,De Baarsjes - Oud-West,2,1,1,2,4.73,11,2,0,1,1,0,0,0,1,0,0,1,0,0
696113,120,rental unit,IJburg - Zeeburgereiland,4,1,7,4,4.76,21,2,0,1,0,0,0,0,0,0,0,0,0,0
698672,98,rental unit,De Baarsjes - Oud-West,2,1,3,1,4.81,53,1,0,1,1,0,0,0,1,0,0,1,0,0
699991,95,rental unit,Westerpark,3,1.5,2,0,4.67,60,2,0,1,0,0,0,0,0,0,0,0,0,0
